Select,+,Result #,X,1,2,3,4,5,Document ID,Date Published,Family ID,Pages,Title,CPCI,CPCA,Inventor,Assignee,Application Number,Filing Date,Primary Examiner,Assistant Examiner,OR,XREF,Applicant Name,Notes,Notes/Tagged,Relevancy,C,Patent Number,Kind Code,Source,norm_number
checked,,1318,,,,,,,US 4954005 A,1990-09-04,27376006,12,Safety coupling device for robotic tooling,B25J19/063,Y10T403/32581;Y10T403/32041;Y10T403/32057,Knasel; Harold E. et al.,Process Equipment Company,07/385231,1989-07-25,Cuomo; Peter M.,,403/57,403/116;403/59;901/29;414/730;901/49,,,,11.096399,,4954005,A,USPAT,4954005
checked,,1319,,,,,,,US 4938654 A,1990-07-03,26846697,13,Automated wafer inspection system,G02B21/0016;H10P72/3411,,Schram; Richard R.,,07/149391,1988-01-28,Werner; Frank E.,,414/757,198/394;414/627;414/744.2;414/222.02,,,,18.860493,,4938654,A,USPAT,4938654
checked,,1320,,,,,,,US 4936529 A,1990-06-26,23121071,7,Device for detecting defective wheels on rail cars,B61K9/12;G01N22/00;G01B15/00,,Maine; Darren P. L.,"Railbase Technologies, Incorporated",07/291620,1988-12-29,Kashnikow; Andres,Newholm; Timothy,246/169R,73/146;324/642,,,,8.945034,,4936529,A,USPAT,4936529
checked,,1321,,,,,,,US 4894103 A,1990-01-16,22736128,13,Robot for tire building machine and method of operation,B29D30/3007,Y10S414/123;B29C2793/0081;B29L2030/003;B29D2030/4406;B29D2030/4418,Bailey; David W.,The Uniroyal Goodrich Tire Company,07/199080,1988-05-26,Hoch; Raymond,,156/111,901/37;156/396;414/910,,,,20.145826,,4894103,A,USPAT,4894103
checked,,1322,,,,,,,US 4870592 A,1989-09-26,22536984,45,Manufacturing system with centrally disposed dynamic buffer region,G05B19/4189,Y10T29/5124;G05B2219/50362;Y10T29/5135;G05B2219/50364;Y02P90/02;G05B2219/31272,Lampi; Wayne J. et al.,,07/151016,1988-02-01,MacDonald; Allen,,700/112,29/38.9;700/248;700/249;29/563,,,,12.670938,,4870592,A,USPAT,4870592
checked,,1323,,,,,,,US 4818169 A,1989-04-04,24957328,16,Automated wafer inspection system,G02B21/0016;H10P72/3411,Y10S188/01;Y10S414/137,"Schram, deceased; Richard R. et al.",,06/735822,1985-05-17,Werner; Frank E.,,414/331.18,92/88;414/627;414/744.3;118/729;198/394;414/282;414/217;359/393;359/392;414/937;188/DIG.1;414/416.03,,,,18.699306,,4818169,A,USPAT,4818169
checked,,1324,,,,,,,US 4814283 A,1989-03-21,22656613,8,Simple automated discretionary bonding of multiple parallel elements,H05K1/0293;H10P74/232;H10W20/491;H10W72/00,H05K1/0268;H05K2201/0305;H05K2203/173;H05K3/28;Y10T29/49156;Y10T29/49167,Temple; Victor A. K. et al.,General Electric Company,07/179441,1988-04-08,Hearn; Brian E.,Pawlikowski; Beverly A.,438/6,257/E23.147;257/E21.526;29/853;257/133;257/E23.141;228/180.1;228/38;29/847,,,,15.789116,,4814283,A,USPAT,4814283
checked,,1325,,,,,,,US 4645637 A,1987-02-24,6228104,15,Manipulator for the inspection of pressure vessels open at the top thereof,G21C17/01,Y02E30/30,Bauer; Rainer et al.,Kraftwerk Union Aktiengesellschaft,06/699086,1985-02-07,Cangialosi; Salvatore,,376/249,976/DIG.212,,,,25.031128,,4645637,A,USPAT,4645637
checked,,1326,,,,,,,US 4560968 A,1985-12-24,24666774,6,Magnetic actuator for a gas valve,H01F7/08,,Gagnon; Ronald W.,United Technologies Corporation,06/664630,1984-10-25,Harris; George,,335/281,251/129.01;336/192,,,,10.537071,,4560968,A,USPAT,4560968
checked,1,1327,,,,,,,US 4550376 A,1985-10-29,23850684,9,Inspection system for mechanical structures,B66B9/00;G01M99/00,,Maciejczak; Robert A.,,06/466147,1983-02-14,Wise; Edward J.,,703/1,702/35;702/81;702/34;700/175;348/82,,,,22.559635,,4550376,A,USPAT,4550376
checked,,1328,,,,,,,US 4789947 A,1988-12-06,23850684,7,Inspection system and method for mechanical structures,G01M99/00;B66B9/00,,Maciejczak; Robert A.,,06/791326,1985-10-25,Lall; Parshotam S.,Melnick; S. A.,703/1,702/35;702/34;348/82;702/81,,,,15.819939,,4789947,A,USPAT,4789947
checked,,1329,,,,,,,US 4497242 A,1985-02-05,23365123,7,Ventilation control system,F24F11/77;F24F11/0001;B08B15/023,Y02B30/70,Moyer; Robert C.,Barber-Colman Company,06/347752,1982-02-11,Joyce; Harold,,454/61,,,,,9.613959,,4497242,A,USPAT,4497242
checked,,1330,,,,,,,US 4497031 A,1985-01-29,23588563,38,Direct digital control apparatus for automated monitoring and control of building systems,F24F11/63;F24F11/88;F24F11/523;G05D23/1917;F24F11/46;F24F11/76,F24F11/54;F24F11/30;F24F2110/10;F24F2011/0002;F24F11/84,Froehling; Paul H. et al.,Johnson Service Company,06/401632,1982-07-26,Wise; Edward J.,,700/276,165/212;165/249,,,,9.885888,,4497031,A,USPAT,4497031
checked,,1331,,,,,,,US 4110620 A,1978-08-29,24222760,7,Fuel rod leak detector,G21C17/07,Y02E30/30,Womack; Robert E.,The Babcock & Wilcox Co.,05/556762,1975-03-10,Dixon; Harold A.,,250/361R,976/DIG.232;250/336.1;376/253;376/251,,,,6.534011,,4110620,A,USPAT,4110620
checked,,1332,,,,,,,US 3952699 A,1976-04-27,5871659,10,Method and apparatus for treating a workpiece at a treating station,B05D7/52;B05B5/08;B05B5/081;B05B5/082;B05B13/0452;B05B14/48;B05B16/20;B05B16/90;B05D1/06;B05D7/14,B05B13/041,Durr; Heinz et al.,,05/452552,1974-03-19,Stein; Mervin,Salser; Douglas,118/315,118/321;427/425;427/184;118/320;118/633;427/424;118/323;134/133,,,,3.0989351,,3952699,A,USPAT,3952699
checked,,1333,,,,,,,US 3790091 A,1974-02-05,22535517,12,SOLID WASTE SEPARATING METHOD AND CLASSIFICATION OF MATERIAL,C10L5/46;B07B9/02;B03B9/06,Y02E50/30;Y02E50/10,Law; Edward et al.,National Recycling Inc.,05/150671,1971-06-07,"Custer, Jr.; Granville Y.",,241/19,241/79;44/551;241/68;100/91;241/27;44/589;100/39;44/541;241/24.14,,,,4.410872,,3790091,A,USPAT,3790091
checked,,1334,,,,,,,US 3747085 A,1973-07-17,22721267,6,TOOL MONITORING APPARATUS,B23B49/001;B23Q17/0947,Y10T408/14,Bala; John L. et al.,Itek Corporation,05/195397,1971-11-03,Trafton; David L.,,340/680,324/207.17;408/6;324/173;324/239,,,,11.921797,,3747085,A,USPAT,3747085
