Select,+,Result #,X,1,2,3,4,5,Document ID,Date Published,Family ID,Pages,Title,CPCI,CPCA,Inventor,Assignee,Application Number,Filing Date,Primary Examiner,Assistant Examiner,OR,XREF,Applicant Name,Notes,Notes/Tagged,Relevancy,C,Patent Number,Kind Code,Source,norm_number
checked,,1229,,,,,,,US 8051106 B2,2011-11-01,31500196,23,Automated application discovery and analysis system and method,G06F16/289;G06Q10/0635;G06Q10/063;G06F16/287;G06Q10/06375,,Bird; Stephen Anthony,Intotality Phils Inc.,12/638654,2009-12-15,Hwa; Shyue Jiunn,,707/802,707/E17.009,,,,13.832118,,8051106,B2,USPAT,8051106
checked,,1236,,,,,,,US 7031262 B2,2006-04-18,35375081,13,Reoptimization triggering by path computation elements,H04L45/125;H04L47/762;H04L45/12;H04L47/125;H04L45/70;H04L47/822;H04L47/825;H04L45/50;H04L45/04;H04L45/42;H04L45/44,,Vasseur; Jean Philippe et al.,"Cisco Technology, Inc.",10/848744,2004-05-19,Pham; Brenda,,370/248,370/238,,,,11.823891,,7031262,B2,USPAT,7031262
checked,,1238,,,,,,,US 7631296 B2,2009-12-08,35188528,39,Rules framework for definition and execution of end-user rules logic,G06N5/046,,Seshadri; Praveen et al.,Microsoft Corporation,10/903765,2004-07-30,Yigdall; Michael J,,717/117,719/320;715/744;719/328,,,,9.21411,,7631296,B2,USPAT,7631296
checked,,1242,,,,,,,US 6836285 B1,2004-12-28,33516871,37,"Lidar with streak-tube imaging,including hazard detection in marine applications; related optics",G01S7/487;G01S7/4811;G01S7/4802;G01S17/89;G01S7/4814;G01S17/93;G01S7/497,,Lubard; Stephen C. et al.,Arete Associates,09/390487,1999-09-03,Philippe; Gims,,348/31,356/4.01;348/81,,,,16.443901,,6836285,B1,USPAT,6836285
checked,,1244,,,,,,,US 6972693 B2,2005-12-06,33457216,12,Vehicle security inspection system,G01V5/20,,Brown; Betty J. et al.,,10/831109,2004-04-26,Wu; Daniel,Walk; Samuel J.,340/907,340/928;250/358.1;702/188;378/57,,,,15.415367,,6972693,B2,USPAT,6972693
checked,,1246,,,,,,,US 7119674 B2,2006-10-10,33490513,19,"Automated site security, monitoring and access control system",G07B15/04;G08G1/04;G08G1/017,,Sefton; Alan K.,"Pips Technology, Inc.",10/852003,2004-05-21,Pope; Daryl C,,340/521,340/937;340/932.2,,,,11.050757,,7119674,B2,USPAT,7119674
checked,,1250,,,,,,,US 7030757 B2,2006-04-18,32500741,25,Security system and moving robot,G05D1/0274;G08B13/19645;G08B13/19647;G08B13/19684;G08B13/19697;G08B29/188,,Matsuhira; Nobuto et al.,Kabushiki Kaisha Toshiba,10/724239,2003-12-01,La; Anh V.,,340/541,340/521;340/522,,,,15.796618,,7030757,B2,USPAT,7030757
checked,,1251,,,,,,,US 7750803 B2,2010-07-06,32500741,26,Security system and moving robot,G05D1/0274;G08B13/19645;G08B13/19647;G08B13/19684;G08B13/19697;G08B29/188,,Matsuhira; Nobuto et al.,Kabushiki Kaisha Toshiba,11/262887,2005-11-01,Wu; Daniel,Lu; Shirley,340/541,340/521,,,,15.796618,,7750803,B2,USPAT,7750803
checked,,1255,,,,,,,US 7451489 B2,2008-11-11,32229193,13,Active network defense system and method,H04L63/1416;H04L63/0227;H04L63/0442;H04L43/00;H04L63/0263;H04L63/0254;H04L63/1425,H04L63/1441;H04L43/028;H04L43/16;H04L43/0888,Cantrell; Craig et al.,"TippingPoint Technologies, Inc.",10/930392,2004-08-31,Kincaid; Kristine,Baum; Ronald,726/25,709/224;726/13;709/225;726/26;726/4,,,,9.978479,,7451489,B2,USPAT,7451489
checked,,1256,,,,,,,US 7454792 B2,2008-11-18,32229193,12,Active network defense system and method,H04L63/1425;H04L63/0263;H04L63/0227;H04L63/0442;H04L63/0254;H04L63/1416;H04L43/00,H04L43/0888;H04L43/028;H04L63/1441;H04L43/16,Cantrell; Craig et al.,"TippingPoint Technologies, Inc.",10/930922,2004-08-31,Kincaid; Kristine,Baum; Ronald,726/25,709/225;709/224;726/4;726/13;726/26,,,,9.978479,,7454792,B2,USPAT,7454792
checked,,1257,,,,,,,US 7454499 B2,2008-11-18,32229193,13,Active network defense system and method,H04L63/0263;H04L63/0227;H04L63/0442;H04L63/1416;H04L63/1425;H04L63/0254;H04L43/00,H04L63/1441;H04L43/028;H04L43/16;H04L43/0888,Cantrell; Craig et al.,"Tippingpoint Technologies, Inc.",10/291095,2002-11-07,Barot; Bharat N,,709/225,709/224;709/231;370/394,,,,9.978479,,7454499,B2,USPAT,7454499
checked,,1262,,,,,,,US 6598730 B1,2003-07-29,8242819,10,Parts feed device,H05K13/028,,Gertsch; Christoph et al.,Mikron SA Boudry,09/959773,2001-12-10,Ellis; Christopher P.,Crawford; Gene O,198/580,198/750.1;198/394,,,,10.15354,,6598730,B1,USPAT,6598730
checked,,1265,,,,,,,US 7419346 B2,2008-09-02,23183213,24,Integrated system for tool front-end workpiece handling,H10P72/3222;H10P72/3402;H10P72/3406;H10P72/3408;H10P72/7602,Y10S414/139,Danna; Mark et al.,"Asyst Technologies, Inc.",10/194702,2002-07-12,Fox; Charles A,,414/222.11,414/217;414/939,,,,11.254645,,7419346,B2,USPAT,7419346
checked,,1267,,,,,,,US 6507163 B1,2003-01-14,22615445,8,Robotic bridge maintenance system,B25J9/1689;B25J9/162;E01D19/106,G05B2219/40194;G05B2219/40298;G05B2219/40307;G05B2219/45071;G05B2219/45084,Allen; Mark A.,,08/169383,1993-12-20,Sircus; Brian,,318/560,901/34;901/47;15/346;318/565;318/649;15/321;14/78;318/628;15/300.1;318/568.12;901/43;318/568.25;15/340.1,,,,20.40225,,6507163,B1,USPAT,6507163
checked,,1268,,,,,,,US 6491256 B1,2002-12-10,23589123,7,Transportation of unqualified spacecraft or component to space,B64G1/002,,Wingo; Dennis Ray,,09/401760,1999-09-23,Barefoot; Galen L.,,244/159.4,244/118.1,,,,9.626083,,6491256,B1,USPAT,6491256
checked,,1270,,,,,,,US 6659704 B2,2003-12-09,18980845,13,Loading bridge for air cargo loading,B64F1/3055,,Fukuhara; Yugo et al.,"Mitsubishi Heavy Industries, Ltd.",10/132728,2002-04-26,Bratlie; Steven A.,,414/398,414/502;14/71.5;198/457.07;414/503;244/137.1;414/393,,,,18.144741,,6659704,B2,USPAT,6659704
checked,,1272,,,,,,,US 6840839 B2,2005-01-11,26735590,50,Interactive battling robots with universal vehicle chassis,A63H17/045;A63H30/04,,Rehkemper; Jeffrey G. et al.,"Hasbro, Inc.",10/056676,2002-01-25,Banks; Derris H.,Williams; Jamila O,446/454,446/484,,,,12.8518715,,6840839,B2,USPAT,6840839
checked,,1274,,,,,,,US 6742474 B2,2004-06-01,19773169,8,Construction for automatically milking animals,A01J5/0175;A01J5/007,,van den Berg; Karel et al.,Lely Enterprises A.G. A Swiss Limited Liability Co.,10/109695,2002-04-01,Jordan; Charles T.,Zerr; John W.,119/14.08,,,,,10.050665,,6742474,B2,USPAT,6742474
checked,,1276,,,,,,,US 6575771 B2,2003-06-10,7953980,9,Electrical apparatus including a bus conductor section,H01R9/2658;H05K7/1478,H01R9/2675,Schnatwinkel; Michael et al.,Weidmuller Interface GmbH & Co.,10/084887,2002-03-01,Bradley; P. Austin,Gushi; Ross,439/76.1,439/716,,,,9.543839,,6575771,B2,USPAT,6575771
checked,,1278,,,,,,,US 7002462 B2,2006-02-21,26761814,13,System and method for remote monitoring and maintenance management of vertical transportation equipment,B66B27/00,G05B2223/06,Welch; Patrick J.,Gannett Fleming,10/079281,2002-02-20,Pope; Daryl C.,,340/506,340/3.1;340/286.02;340/679,,,,13.891006,,7002462,B2,USPAT,7002462
checked,2,1279,,,,,,,US 6377181 B1,2002-04-23,25109092,10,Method and apparatus for moisture detection in exterior sheathing of residential and commercial buildings,F24F11/30;E04B1/70;G01M3/16;G08B21/20,Y10T137/5762;F24F2110/20,Kroll; Richard E. et al.,"Dryvit Systems, Inc.",09/777038,2001-02-05,Lefkowitz; Edward,,340/604,340/603;340/602,,,,14.5524845,,6377181,B1,USPAT,6377181
checked,,1281,,,,,,,US 7126486 B2,2006-10-24,25109092,13,Method and apparatus for moisture detection in exterior sheathing of residential and commercial buildings,G08B21/20;G01M3/16;F24F11/30;E04B1/70,F24F2110/20;Y10T137/5762,Kroll; Richard E. et al.,"Dryvit Systems, Inc.",10/060183,2002-01-30,Goins; Davetta W.,,340/604,73/29.01;340/605;340/618;340/620;137/312;73/73;340/602;340/539.1,,,,14.5524845,,7126486,B2,USPAT,7126486
checked,4,1282,,,,,,,US 6340977 B1,2002-01-22,23187226,48,System and method for dynamic assistance in software applications using behavior and host application models,G06F9/453,,Lui; Philip et al.,,09/306869,1999-05-07,dela Torre; Crescelle N.,,715/709,715/706,,,,7.197647,,6340977,B1,USPAT,6340977
checked,,1284,,,,,,,US 7047498 B2,2006-05-16,23187226,46,System and method for dynamic assistance in software applications using behavior and host application models,G06F9/453,,Lui; Philip et al.,Knoa Corporation,09/989716,2001-11-20,Kincaid; Kristine,Pesin; Boris,715/762,715/763;715/709,,,,7.197647,,7047498,B2,USPAT,7047498
checked,,1286,,,,,,,US 7861178 B2,2010-12-28,23187226,46,System and method for dynamic assistance in software applications using behavior and host application models,G06F9/453,,Lui; Philip et al.,"KNOA Software, Inc.",11/387456,2006-03-22,Ke; Simon,,715/762,715/708;715/745;715/764;715/709,,,,7.197647,,7861178,B2,USPAT,7861178
checked,1,1287,,,,,,,US 6330587 B1,2001-12-11,22808395,11,Real-time multiprocessing computer infrastructure for automated testing,G01M15/00,,Tedone; Damian J. et al.,"Ford Global Technologies, Inc.",09/216759,1998-12-21,Sheikh; Ayaz,Pinh; Khanh Quang,709/201,709/222,,,,10.787386,,6330587,B1,USPAT,6330587
checked,,1290,,,,,,,US 6431078 B1,2002-08-13,3460785,41,Autonomous transport system,B61B13/00;B66B9/00;B66B11/0476,Y02T30/00,Serrano; Jorge,,09/729631,2000-12-05,Morano; S. Joseph,Olson; Lars A.,104/91,104/106;187/245;104/93;105/156,,,,17.205444,,6431078,B1,USPAT,6431078
checked,,1292,,,,,,,US 6511247 B2,2003-01-28,7937228,5,Robot with a retaining strip which can be placed on a gearbox for fixing control cams,B25J9/101,Y10T403/16,Karlinger; Stefan,Kuka Roboter GmbH,09/780776,2001-02-09,Browne; Lynne H.,Thompson; Kenneth,403/11,403/24;901/50;403/21,,,,14.854315,,6511247,B2,USPAT,6511247
checked,,1293,,,,,,,US 5999757 A,1999-12-07,14928170,26,Sheet transportation device,G03G15/55;B65H43/00,B65H2301/533;B65H2513/51;B65H2511/52;B65H2511/52;B65H2220/01;B65H2513/51;B65H2220/02,Shimomura; Yoshiki et al.,"Mita Industrial Co., Ltd.",08/856806,1997-05-15,Grimley; Arthur T.,Tran; Hoan,399/9,399/18;399/16,,,,9.441874,,5999757,A,USPAT,5999757
checked,,1294,,,,,,,US 5990800 A,1999-11-23,17647683,14,Remote engine starting and stopping device for construction machine,F02N11/0807;F02N11/101,F02N11/103,Tamaki; Hideo et al.,Komatsu Ltd.,08/836559,1997-06-20,Lefkowitz; Edward,Woods; Davetta,340/679,307/10.6;700/306;701/34.2;123/179.2;180/272,,,,16.28918,,5990800,A,USPAT,5990800
checked,,1295,,,,,,,US 5987990 A,1999-11-23,26723757,9,System of autonomous sensors for pipeline inspection,G01N29/38;G01N29/14,G01N2291/0258;G01N2291/2636,Worthington; Henry W. et al.,"Pipeline Technologies, Inc.",08/963869,1997-11-04,Williams; Hezron,Miller; Rose M.,73/592,73/594;73/40.5A;73/579,,,,11.750185,,5987990,A,USPAT,5987990
checked,,1296,,,,,,,US 5950543 A,1999-09-14,25488453,40,Evacuated tube transport,B61B13/10,Y02T30/00,Oster; Daryl,et3.com Inc.,08/948978,1997-10-10,Le; Mark T.,,104/138.1,104/130.05;104/28;104/27,,,,12.336532,,5950543,A,USPAT,5950543
checked,,1297,,,,,,,US 5938561 A,1999-08-17,7778440,4,Control system dependent on an error in the engine control system,B60W30/18;F16D48/066;B60K23/02;B60W10/04;B60W10/02;F16H61/143;F16D48/06;B60W10/06;B60W30/1819,F16D2500/1062;Y10S477/906;F16D2500/3026;F16D2500/3067;F16D2500/5104;F16D2500/3065;F16D2500/3063;F16H59/14;B60W2050/021;F16D2500/5108;F16D2500/1025,Schubert; Peter,Robert Bosch GmbH,08/875383,1997-07-25,Wright; Dirk,Kwon; Peter T.,477/79,477/174;477/181;477/906,,,,10.597473,,5938561,A,USPAT,5938561
checked,,1298,,,,,,,US 5903629 A,1999-05-11,23746278,18,Apparatus and method for automated audio teleconferencing having enhanced reconfiguration features,H04M3/562;H04M3/565;H04M3/56,H04M15/00;H04M3/487;H04M3/493;H04M3/527;H04M2203/5054,"Campbell, IV; James H. et al.","Protel, Inc.",08/729317,1996-10-15,Hunter; Daniel S.,,379/88.24,379/204.01;379/205.01;379/114.01;379/202.01,,,,11.013331,,5903629,A,USPAT,5903629
checked,,1299,,,,,,,US 5813599 A,1998-09-29,26677229,11,Automated controller for naturally ventilated livestock and poultry buildings,F24F11/0001;A01K1/0047;A01K1/0058;A01K1/007,,Hoff; Steven J.,"Iowa State University Research Foundation, Inc.",08/752333,1996-11-19,Joyce; Harold,,236/49.3,454/239,,,,24.857765,,5813599,A,USPAT,5813599
checked,,1300,,,,,,,US 5781108 A,1998-07-14,24224791,18,Automated detection and monitoring (ADAM),G08B15/002;H05B47/115,Y02B20/40,Jacob; Robert C. et al.,"Future Tech Systems, Inc.",08/557285,1995-11-14,Hofsass; Jeffery,Pope; Daryl C.,340/552,340/522;340/567;340/565;340/521;340/541;340/517,,,,13.877876,,5781108,A,USPAT,5781108
