Select,+,Result #,X,1,2,3,4,5,Document ID,Date Published,Family ID,Pages,Title,CPCI,CPCA,Inventor,Assignee,Application Number,Filing Date,Primary Examiner,Assistant Examiner,OR,XREF,Applicant Name,Notes,Notes/Tagged,Relevancy,C,Patent Number,Kind Code,Source,norm_number,target_xml,reason
checked,,1254,,,,,,,US 20050044422 A1,2005-02-24,32229193,13,Active network defense system and method,H04L63/0263;H04L63/0442;H04L63/0227;H04L63/1416;H04L63/0254;H04L63/1425;H04L43/00,H04L43/16;H04L63/1441;H04L43/0888;H04L43/028,"Cantrell, Craig  et al.",,10/930392,2004-08-31,,,726/4,,,,,10.429634,,20050044422,A1,US-PGPUB,20050044422,,no_file_in_range
checked,,1258,,,,,,,US 20040076502 A1,2004-04-22,7670606,10,Large manipulator having a vibration damping capacity,E04G21/0454;E04G21/04;B66C13/18;B66C13/066;E04G21/0418;B66C23/00,,"Nissing, Dirk  et al.",,10/466035,2003-11-06,,,414/699,414/680,,,,15.94213,,20040076502,A1,US-PGPUB,20040076502,,no_file_in_range
checked,,1259,,,,,,,US 20030221118 A1,2003-11-27,29554067,102,"Automated accounting system that values, controls, records and bills the uses of equipment/vehicles for society",G06Q99/00;B60R25/08;B60R25/33;B60R25/042;B60R25/102,B60R2325/304;B60R2325/205;B60W2556/50,"Walker, Richard C.","Kline & Walker, LLC",10/401041,2003-03-28,,,713/193,,,,,9.435983,,20030221118,A1,US-PGPUB,20030221118,,no_file_in_range
checked,1,1260,,,,,,,US 20030167199 A1,2003-09-04,27803775,19,Automated workflow means and method for pension products,G06Q10/10;G06Q10/063112;G06Q40/00;G06Q40/08,,"Thomann, Karen S.  et al.",,10/086336,2002-03-01,,,705/35,,,,,11.009451,,20030167199,A1,US-PGPUB,20030167199,,no_file_in_range
checked,,1261,,,,,,,US 20080059271 A1,2008-03-06,27803775,17,AUTOMATED WORKFLOW MEANS AND METHOD FOR PENSION PRODUCTS,G06Q40/08;G06Q10/10;G06Q40/00;G06Q10/063112,,THOMANN; Karen S. et al.,"PRINCIPAL FINANCIAL SERVICES, INC.",11/770319,2007-06-28,,,705/7.14,,,,,10.877377,,20080059271,A1,US-PGPUB,20080059271,,no_file_in_range
checked,,1263,,,,,,,US 20030101111 A1,2003-05-29,25541632,32,"Intelligent apparatus, system and method for financial data computation, report remittance and funds transfer over an interactive communications network",G06Q40/02;G06Q40/123;G06Q30/06;G06Q40/12,,"Dang, Hong M.  et al.",,09/995294,2001-11-26,,,705/31,,,,,7.711916,,20030101111,A1,US-PGPUB,20030101111,,no_file_in_range
checked,1,1264,,,,,,,US 20030091409 A1,2003-05-15,23183213,26,Integrated system for tool front-end workpiece handling,H10P72/3222;H10P72/3402;H10P72/3406;H10P72/3408;H10P72/7602,Y10S414/139,"Danna, Mark  et al.",,10/194702,2002-07-12,,,414/217,,,,,11.728403,,20030091409,A1,US-PGPUB,20030091409,,no_file_in_range
checked,,1266,,,,,,,US 20030071737 A1,2003-04-17,25525698,10,Automated stormwater monitoring system and method,G01W1/14,,"Nawathe, Dilip",,09/977976,2001-10-16,,,340/616,340/602,,,,11.441152,,20030071737,A1,US-PGPUB,20030071737,,no_file_in_range
checked,1,1269,,,,,,,US 20020164236 A1,2002-11-07,18980845,13,Loading bridge for air cargo loading,B64F1/3055,,"Fukuhara, Yugo  et al.",,10/132728,2002-04-26,,,414/373,,,,,18.751373,,20020164236,A1,US-PGPUB,20020164236,,no_file_in_range
checked,1,1271,,,,,,,US 20020160688 A1,2002-10-31,26735590,31,Interactive battling robots with universal vehicle chassis,A63H30/04;A63H17/045,,"Rehkemper, Jeffrey G.  et al.","Hasbro, Inc.",10/056676,2002-01-25,,,446/454,,,,,13.322536,,20020160688,A1,US-PGPUB,20020160688,,no_file_in_range
checked,1,1273,,,,,,,US 20020139309 A1,2002-10-03,19773169,7,Construction for automatically milking animals,A01J5/0175;A01J5/007,,"van den Berg, Karel  et al.","LELY ENTERPRISES, A.G.",10/109695,2002-04-01,,,119/14.08,,,,,14.694384,,20020139309,A1,US-PGPUB,20020139309,,no_file_in_range
checked,1,1275,,,,,,,US 20020127895 A1,2002-09-12,7953980,9,Electrical apparatus including a bus conductor section,H01R9/2658;H05K7/1478,H01R9/2675,"Schnatwinkel, Michael  et al.",Weidmuller Inerface GmbH & Co.,10/084887,2002-03-01,,,439/76.1,,,,,10.017597,,20020127895,A1,US-PGPUB,20020127895,,no_file_in_range
checked,1,1277,,,,,,,US 20020113877 A1,2002-08-22,26761814,13,System and method for remote monitoring and maintenance management of vertical transportation equipment,B66B27/00,G05B2223/06,"Welch, Patrick J.",,10/079281,2002-02-20,,,348/148,,,,,14.530947,,20020113877,A1,US-PGPUB,20020113877,,no_file_in_range
checked,,1280,,,,,,,US 20020130781 A1,2002-09-19,25109092,11,Method and apparatus for moisture detection in exterior sheathing of residential and commercial buildings,F24F11/30;E04B1/70;G08B21/20;G01M3/16,Y10T137/5762;F24F2110/20,"Kroll, Richard E.  et al.",,10/060183,2002-01-30,,,340/604,340/540,,,,15.190525,,20020130781,A1,US-PGPUB,20020130781,,no_file_in_range
checked,,1283,,,,,,,US 20020118220 A1,2002-08-29,23187226,47,System and method for dynamic assistance in software applications using behavior and host application models,G06F9/453,,"Lui, Philip  et al.",,09/989716,2001-11-20,,,715/709,,,,,7.645784,,20020118220,A1,US-PGPUB,20020118220,,no_file_in_range
checked,,1285,,,,,,,US 20070050719 A1,2007-03-01,23187226,46,System and method for dynamic assistance in software applications using behavior and host application models,G06F9/453,,Lui; Philip et al.,,11/387456,2006-03-22,,,715/762,,,,,7.645784,,20070050719,A1,US-PGPUB,20070050719,,no_file_in_range
checked,,1288,,,,,,,US 20020188654 A1,2002-12-12,22808395,12,Real-time multiprocessing computer infrastructure for automated testing,G01M15/00,,"Tedone, Damian J.  et al.","Ford Global Technologies, Inc.",09/938424,2001-08-23,,,709/201,709/224,,,,11.28916,,20020188654,A1,US-PGPUB,20020188654,,no_file_in_range
checked,1,1289,,,,,,,US 20010020429 A1,2001-09-13,3460785,42,Autonomous transport system,B61B13/00;B66B11/0476;B66B9/00,Y02T30/00,"Serrano, Jorge",,09/729631,2000-12-05,,,104/91,105/141,,,,17.812077,,20010020429,A1,US-PGPUB,20010020429,,no_file_in_range
checked,1,1291,,,,,,,US 20010018005 A1,2001-08-30,7937228,6,Robot with a retaining strip which can be placed on a gearbox for fixing control cams,B25J9/101,Y10T403/16,"Karlinger, Stefan",,09/780776,2001-02-09,,,403/11,,,,,15.457535,,20010018005,A1,US-PGPUB,20010018005,,no_file_in_range
