__row,Source,Kind Code,Document ID,raw_number,norm_number,Date Published,Filing Date
68,US-PGPUB,A1,US 20260013429 A1,20260013429,20260013429,2026-01-15,2024-07-09
69,US-PGPUB,A1,US 20260017729 A1,20260017729,20260017729,2026-01-15,2024-07-09
70,US-PGPUB,A1,US 20260011173 A1,20260011173,20260011173,2026-01-08,2025-01-23
71,US-PGPUB,A1,US 20260011460 A1,20260011460,20260011460,2026-01-08,2024-07-06
72,US-PGPUB,A1,US 20260001564 A1,20260001564,20260001564,2026-01-01,2025-04-21
73,US-PGPUB,A1,US 20260005644 A1,20260005644,20260005644,2026-01-01,2024-06-27
74,US-PGPUB,A1,US 20250390623 A1,20250390623,20250390623,2025-12-25,2025-08-29
75,US-PGPUB,A1,US 20250371689 A1,20250371689,20250371689,2025-12-04,2024-05-28
76,USPAT,B2,US 12488622 B2,12488622,12488622,2025-12-02,2023-12-22
77,USPAT,B2,US 12494086 B2,12494086,12494086,2025-12-09,2023-12-22
78,USPAT,B2,US 12518567 B2,12518567,12518567,2026-01-06,2023-12-22
79,USPAT,B1,US 12485330 B1,12485330,12485330,2025-12-02,2025-07-15
80,US-PGPUB,A1,US 20250365210 A1,20250365210,20250365210,2025-11-27,2024-05-23
81,USPAT,B1,US 12479606 B1,12479606,12479606,2025-11-25,2023-03-30
82,USPAT,B1,US 12480275 B1,12480275,12480275,2025-11-25,2022-11-09
83,US-PGPUB,A1,US 20250356324 A1,20250356324,20250356324,2025-11-20,2025-08-01
84,US-PGPUB,A1,US 20250356438 A1,20250356438,20250356438,2025-11-20,2025-05-12
85,US-PGPUB,A1,US 20250348300 A1,20250348300,20250348300,2025-11-13,2024-05-08
86,US-PGPUB,A1,US 20250349022 A1,20250349022,20250349022,2025-11-13,2025-05-06
87,US-PGPUB,A1,US 20250348562 A1,20250348562,20250348562,2025-11-13,2025-07-20
88,US-PGPUB,A1,US 20250346364 A1,20250346364,20250346364,2025-11-13,2025-07-18
89,USPAT,B1,US 12469004 B1,12469004,12469004,2025-11-11,2023-03-24
90,US-PGPUB,A1,US 20260065222 A1,20260065222,20260065222,2026-03-05,2025-11-05
91,US-PGPUB,A1,US 20250341290 A1,20250341290,20250341290,2025-11-06,2025-07-17
92,US-PGPUB,A1,US 20250342412 A1,20250342412,20250342412,2025-11-06,2024-05-06
93,US-PGPUB,A1,US 20250334978 A1,20250334978,20250334978,2025-10-30,2023-05-22
94,US-PGPUB,A1,US 20250335423 A1,20250335423,20250335423,2025-10-30,2025-04-29
95,US-PGPUB,A1,US 20250330556 A1,20250330556,20250330556,2025-10-23,2024-04-23
96,USPAT,B1,US 12452363 B1,12452363,12452363,2025-10-21,2023-09-01
97,US-PGPUB,A1,US 20250314047 A1,20250314047,20250314047,2025-10-09,2024-04-09
98,US-PGPUB,A1,US 20250307487 A1,20250307487,20250307487,2025-10-02,2025-03-28
99,US-PGPUB,A1,US 20250297914 A1,20250297914,20250297914,2025-09-25,2024-03-20
100,US-PGPUB,A1,US 20250292342 A1,20250292342,20250292342,2025-09-18,2025-02-07
101,US-PGPUB,A1,US 20250282400 A1,20250282400,20250282400,2025-09-11,2024-11-04
102,US-PGPUB,A1,US 20250272914 A1,20250272914,20250272914,2025-08-28,2025-02-25
103,US-PGPUB,A1,US 20250272641 A1,20250272641,20250272641,2025-08-28,2023-04-20
104,US-PGPUB,A1,US 20250269529 A1,20250269529,20250269529,2025-08-28,2025-02-24
105,US-PGPUB,A1,US 20250266169 A1,20250266169,20250266169,2025-08-21,2024-10-27
106,US-PGPUB,A1,US 20250264873 A1,20250264873,20250264873,2025-08-21,2024-02-15
107,US-PGPUB,A1,US 20250258968 A1,20250258968,20250258968,2025-08-14,2023-05-19
108,US-PGPUB,A1,US 20250251256 A1,20250251256,20250251256,2025-08-07,2024-03-22
109,US-PGPUB,A1,US 20250246882 A1,20250246882,20250246882,2025-07-31,2024-01-26
110,US-PGPUB,A1,US 20250244741 A1,20250244741,20250244741,2025-07-31,2024-01-25
111,US-PGPUB,A1,US 20250224993 A1,20250224993,20250224993,2025-07-10,2024-01-05
112,US-PGPUB,A1,US 20250225263 A1,20250225263,20250225263,2025-07-10,2024-01-04
113,US-PGPUB,A1,US 20250225250 A1,20250225250,20250225250,2025-07-10,2024-01-04
114,USPAT,B1,US 12351059 B1,12351059,12351059,2025-07-08,2024-06-28
115,US-PGPUB,A1,US 20260001431 A1,20260001431,20260001431,2026-01-01,2025-05-16
116,US-PGPUB,A1,US 20250209571 A1,20250209571,20250209571,2025-06-26,2024-07-12
117,US-PGPUB,A1,US 20250209627 A1,20250209627,20250209627,2025-06-26,2025-03-17
118,US-PGPUB,A1,US 20250200488 A1,20250200488,20250200488,2025-06-19,2023-03-14
119,US-PGPUB,A1,US 20250196851 A1,20250196851,20250196851,2025-06-19,2024-12-18
120,US-PGPUB,A1,US 20250187616 A1,20250187616,20250187616,2025-06-12,2022-03-16
121,US-PGPUB,A1,US 20250182595 A1,20250182595,20250182595,2025-06-05,2023-12-01
122,US-PGPUB,A1,US 20250170921 A1,20250170921,20250170921,2025-05-29,2023-02-14
123,US-PGPUB,A1,US 20250164633 A1,20250164633,20250164633,2025-05-22,2024-01-24
124,USPAT,B2,US 12625255 B2,12625255,12625255,2026-05-12,2024-01-24
125,US-PGPUB,A1,US 20250155960 A1,20250155960,20250155960,2025-05-15,2024-09-26
126,US-PGPUB,A1,US 20250139581 A1,20250139581,20250139581,2025-05-01,2023-10-31
127,US-PGPUB,A1,US 20250136060 A1,20250136060,20250136060,2025-05-01,2024-10-28
128,US-PGPUB,A1,US 20250129552 A1,20250129552,20250129552,2025-04-24,2023-01-27
129,US-PGPUB,A1,US 20250128101 A1,20250128101,20250128101,2025-04-24,2024-10-17
130,US-PGPUB,A1,US 20250124198 A1,20250124198,20250124198,2025-04-17,2024-12-23
131,US-PGPUB,A1,US 20250124373 A1,20250124373,20250124373,2025-04-17,2024-09-18
