norm_number,Patent Number,Kind Code,Date Published,Filing Date,target_xml
8866606,8866606,B1,2014-10-21,2013-09-10,ipg141021.xml
9413155,9413155,B2,2016-08-09,2014-02-19,ipg160809.xml
8880241,8880241,B2,2014-11-04,2013-02-20,ipg141104.xml
9440317,9440317,B2,2016-09-13,2013-01-07,ipg160913.xml
9697724,9697724,B2,2017-07-04,2011-09-22,ipg170704.xml
9767685,9767685,B2,2017-09-19,2017-04-05,ipg170919.xml
9928730,9928730,B2,2018-03-27,2017-09-01,ipg180327.xml
9466203,9466203,B2,2016-10-11,2013-10-11,ipg161011.xml
9550312,9550312,B2,2017-01-24,2013-10-11,ipg170124.xml
9467500,9467500,B2,2016-10-11,2013-04-16,ipg161011.xml
9800667,9800667,B2,2017-10-24,2016-09-27,ipg171024.xml
9069763,9069763,B2,2015-06-30,2012-07-02,ipg150630.xml
8943892,8943892,B2,2015-02-03,2012-05-11,ipg150203.xml
8950540,8950540,B2,2015-02-10,2012-10-11,ipg150210.xml
9070216,9070216,B2,2015-06-30,2012-12-12,ipg150630.xml
8725665,8725665,B2,2014-05-13,2012-08-20,ipg140513.xml
8831784,8831784,B2,2014-09-09,2011-12-21,ipg140909.xml
8805579,8805579,B2,2014-08-12,2011-02-19,ipg140812.xml
8786189,8786189,B2,2014-07-22,2011-11-18,ipg140722.xml
8807823,8807823,B2,2014-08-19,2010-10-11,ipg140819.xml
8950931,8950931,B2,2015-02-10,2014-07-03,ipg150210.xml
8645529,8645529,B2,2014-02-04,2010-11-19,ipg140204.xml
9164512,9164512,B2,2015-10-20,2009-11-27,ipg151020.xml
9014415,9014415,B2,2015-04-21,2011-04-22,ipg150421.xml
8731724,8731724,B2,2014-05-20,2011-09-27,ipg140520.xml
9639413,9639413,B2,2017-05-02,2014-05-08,ipg170502.xml
8659286,8659286,B2,2014-02-25,2011-07-01,ipg140225.xml
8924018,8924018,B2,2014-12-30,2009-04-20,ipg141230.xml
8924936,8924936,B2,2014-12-30,2013-06-21,ipg141230.xml
9176844,9176844,B2,2015-11-03,2014-10-09,ipg151103.xml
9442821,9442821,B2,2016-09-13,2015-09-03,ipg160913.xml
9753838,9753838,B2,2017-09-05,2016-07-21,ipg170905.xml
8812156,8812156,B2,2014-08-19,2010-05-06,ipg140819.xml
8631161,8631161,B2,2014-01-14,2009-09-30,ipg140114.xml
9546054,9546054,B1,2017-01-17,2014-09-29,ipg170117.xml
8706452,8706452,B2,2014-04-22,2009-06-24,ipg140422.xml
8640089,8640089,B2,2014-01-28,2012-07-25,ipg140128.xml
9361598,9361598,B2,2016-06-07,2014-01-22,ipg160607.xml
