citing_pub,cited_pub,cited_pub_normalized,cited_pub_country,cited_ipc,cited_cpc,cited_national_class,category,citation_type,cited_npl_text,cited_ipc3
8706452,7200537,7200537,US,,,703  7,cited by examiner,patcit,,
8706452,7308389,7308389,US,,,703  6,cited by examiner,patcit,,
8706452,7383162,7383162,US,,,703  2,cited by examiner,patcit,,
8706452,7403829,7403829,US,,,700 97,cited by examiner,patcit,,
8706452,7444269,7444269,US,,,703  1,cited by examiner,patcit,,
8706452,7480596,7480596,US,,,703  1,cited by examiner,patcit,,
8706452,7529638,7529638,US,,,702150,cited by examiner,patcit,,
8706452,7558705,7558705,US,,,703  1,cited by examiner,patcit,,
8706452,7996190,7996190,US,,,703  1,cited by examiner,patcit,,
8706452,8150661,8150661,US,,,703  1,cited by examiner,patcit,,
8706452,2002/0040256,20020040256,US,,,700 97,cited by examiner,patcit,,
8706452,2003/0020711,20030020711,US,,,345420,cited by examiner,patcit,,
8706452,2003/0020715,20030020715,US,,,345424,cited by examiner,patcit,,
8706452,2003/0023947,20030023947,US,,,716 17,cited by examiner,patcit,,
8706452,2003/0050723,20030050723,US,,,700 97,cited by examiner,patcit,,
8706452,2004/0019399,20040019399,US,,,700121,cited by examiner,patcit,,
8706452,2004/0130878,20040130878,US,,,361826,cited by examiner,patcit,,
8706452,2004/0230403,20040230403,US,,,703  1,cited by examiner,patcit,,
8706452,2005/0006127,20050006127,US,,,174 72 A,cited by examiner,patcit,,
8706452,2005/0119773,20050119773,US,,,700 97,cited by examiner,patcit,,
8706452,2005/0240383,20050240383,US,,,703  7,cited by examiner,patcit,,
8706452,2007/0038415,20070038415,US,,,703  1,cited by examiner,patcit,,
8706452,2007/0088530,20070088530,US,,,703  1,cited by examiner,patcit,,
8706452,2007/0232120,20070232120,US,,,439358,cited by examiner,patcit,,
8706452,2008/0015824,20080015824,US,,,703  1,cited by examiner,patcit,,
8706452,2009/0066100,20090066100,US,,,294 864,cited by examiner,patcit,,
8706452,2009/0276194,20090276194,US,,,703  1,cited by examiner,patcit,,
8706452,2010/0122451,20100122451,US,,,29703,cited by examiner,patcit,,
8725665,5225712,5225712,US,,,,cited by applicant,patcit,,
8725665,5625751,5625751,US,,,,cited by applicant,patcit,,
8725665,5764155,5764155,US,,,,cited by applicant,patcit,,
8725665,5862391,5862391,US,,,,cited by applicant,patcit,,
8725665,5875431,5875431,US,,,,cited by applicant,patcit,,
8725665,5893069,5893069,US,,,,cited by applicant,patcit,,
8725665,5959547,5959547,US,,,,cited by applicant,patcit,,
8725665,5963457,5963457,US,,,,cited by applicant,patcit,,
8725665,6012016,6012016,US,,,,cited by applicant,patcit,,
8725665,6055517,6055517,US,,,,cited by applicant,patcit,,
8725665,6125044,6125044,US,,,,cited by applicant,patcit,,
8725665,6125453,6125453,US,,,,cited by applicant,patcit,,
